target,feature,pearson_r,spearman_rho,p_value,fdr_q,fdr_significant,n
GrandMean_a,right_temporal_beta_peak_cf,0.07792367441226682,0.012072590318711225,0.39161348398020823,0.7707280577960334,False,188
GrandMean_a,right_temporal_beta_peak_pw,-0.10902178203532396,-0.09199373863595445,0.14070788988303234,0.5980085320028875,False,188
GrandMean_a,right_temporal_beta_peak_bw,-0.024844845327935523,-0.021120584024454735,0.7850289746931624,0.9205923074955985,False,188
GrandMean_a,occipital_aperiodic_offset,-0.03665839099867229,0.036826491495058844,0.6212807592513069,0.8759097421717958,False,188
GrandMean_a,occipital_aperiodic_exponent,-0.15085586084992483,-0.0898769047022789,0.04094601541548633,0.4640548413755117,False,188
GrandMean_a,occipital_delta_peak_cf,-0.3641685126291324,-0.3108680792891319,0.005794982383450106,0.19662146512446915,False,188
GrandMean_a,occipital_delta_peak_pw,0.0962735901078204,0.06038200408379089,0.19358696346602422,0.6421421227165682,False,188
GrandMean_a,occipital_delta_peak_bw,-0.08064748556062896,-0.016335944596093454,0.5546125857070118,0.8571285415472,False,188
GrandMean_a,occipital_theta_peak_pw,0.12559738823758634,0.035995790153531035,0.08935512690805104,0.5275002347126542,False,188
GrandMean_a,occipital_alpha_peak_cf,-0.1178071084624121,-0.07543587294005255,0.13916030558035464,0.5980085320028875,False,188
GrandMean_a,occipital_alpha_peak_pw,-0.0694327600285671,-0.03541259582051663,0.3489930574110228,0.7604028154173289,False,188
GrandMean_a,occipital_alpha_peak_bw,0.05705976894715622,0.09204084069739671,0.4749788480911678,0.8226609929835992,False,188
GrandMean_a,occipital_beta_peak_cf,-0.1207528871797171,-0.14164178067921382,0.18893068659085233,0.6421421227165682,False,188
GrandMean_a,occipital_beta_peak_pw,-0.0627145443762424,-0.00784139808987693,0.39769946706545234,0.7707280577960334,False,188
GrandMean_a,occipital_beta_peak_bw,-0.04002626131468113,0.009820126397666502,0.6642518783544173,0.8856691711392232,False,188
GrandMean_a,prefrontal_aperiodic_offset,0.07189700377025181,0.06704359384330874,0.33211228388799285,0.7604028154173289,False,188
GrandMean_a,prefrontal_aperiodic_exponent,-0.05433884034418127,-0.06523087592225155,0.46379860367188264,0.8226609929835992,False,188
GrandMean_a,prefrontal_delta_peak_cf,-0.0817060491287787,-0.017636040135035714,0.35166687777045996,0.7604028154173289,False,188
GrandMean_a,prefrontal_delta_peak_pw,-0.06292254597364241,-0.06998362102348098,0.39613308132427744,0.7707280577960334,False,188
GrandMean_a,prefrontal_delta_peak_bw,-0.09129298409930699,-0.0616889542799641,0.2978401538000038,0.7336950059389664,False,188
GrandMean_a,prefrontal_theta_peak_pw,-0.0028185043695778005,-0.06847477178082537,0.9697103383860582,0.9915835039135633,False,188
GrandMean_a,prefrontal_alpha_peak_cf,-0.18205502771681129,-0.17383009763214005,0.03526320862071878,0.4640548413755117,False,188
GrandMean_a,prefrontal_alpha_peak_pw,-0.027310584266314917,-0.015722622461977868,0.7128711142806411,0.9060791732912822,False,188
GrandMean_a,prefrontal_alpha_peak_bw,0.040275464289566146,0.08124041446900836,0.6440512810086735,0.8759097421717958,False,188
GrandMean_a,prefrontal_beta_peak_cf,0.13556926513132722,0.09512614919608749,0.22170211688798958,0.6852610885628768,False,188
GrandMean_a,prefrontal_beta_peak_pw,-0.1321667188913291,-0.09685894302156094,0.07370619631457855,0.5012021349391341,False,188
GrandMean_a,prefrontal_beta_peak_bw,-0.028724670600368356,-0.03736199152008731,0.7965777659564051,0.9205923074955985,False,188
GrandMean_a,asym_aperiodic_offset,0.017096899060446744,0.03364219529579472,0.8178198005080812,0.9205923074955985,False,188
GrandMean_a,asym_aperiodic_exponent,0.011797624362426538,-0.04822677274566084,0.8737116437247278,0.9379406203749465,False,188
GrandMean_a,asym_delta_peak_pw,-0.11344535437516753,-0.12693540646981935,0.29833234841033374,0.7336950059389664,False,188
