"Subject","Detailed_Condition","Score","Trials","Lexical.ACC","Lexical.RT_mean","Lexical.RT_sd","Penalty","Reward","TestDuration","Load_Condition","Speed_Condition","Lexical.Correct_Trials","Lexical.Correct_RT_mean","Lexical.Correct_RT_sd","Lexical.Incorrect_Trials","Lexical.Incorrect_RT_mean","Lexical.Incorrect_RT_sd"
19166,"NoLoad_Accuracy_Mid",780,48,0.9375,707.6875,324.599403274841,40,20,60,"NoLoad","Accuracy_Mid",45,718.044444444444,332.600426088638,3,552.333333333333,61.2318000170935
19166,"NoLoad_Neutral",740,50,0.870548219287715,667.764505802321,306.39499219927,20,20,60,"NoLoad","Neutral",87,672.666666666667,313.90017175761,13,632.076923076923,269.358330586619
19166,"NoLoad_Speed_Max",915,52,0.903846153846154,618.596153846154,154.086079789568,5,20,60,"NoLoad","Speed_Max",47,616.212765957447,152.890830073108,5,641,182.218275702521
19166,"NoLoad_Speed_Mid",800,46,0.91304347826087,767.45652173913,491.687647304747,10,20,60,"NoLoad","Speed_Mid",42,759.761904761905,506.212035470138,4,848.25,338.713620432758
19167,"Load_Accuracy_Max",-100,45,0.777777777777778,781.333333333333,269.302719157187,80,20,60,"Load","Accuracy_Max",35,801.571428571429,291.661093184043,10,710.5,161.346590364415
19167,"Load_Accuracy_Mid",340,32,0.84375,1304.8125,543.040748040382,40,20,60,"Load","Accuracy_Mid",27,1327.44444444444,589.326429939843,5,1182.6,76.2154839911156
19167,"Load_Neutral",600,40,0.87468671679198,931.841478696742,358.918719675728,20,20,60,"Load","Neutral",70,927.042857142857,363.312594902663,10,940.2,370.262009333331
19167,"Load_Speed_Max",730,44,0.863636363636364,792.545454545455,353.518951470251,5,20,60,"Load","Speed_Max",38,760.21052631579,303.109663313973,6,997.333333333333,580.207089466051
19167,"Load_Speed_Mid",750,45,0.888888888888889,774.377777777778,392.941256822354,10,20,60,"Load","Speed_Mid",40,731.775,229.783118201178,5,1115.2,1010.08846147256
19167,"NoLoad_Accuracy_Max",280,44,0.863636363636364,819.363636363636,391.08834967509,80,20,60,"NoLoad","Accuracy_Max",38,801.526315789474,401.638249015885,6,932.333333333333,322.366044531161
19167,"NoLoad_Accuracy_Mid",540,48,0.854166666666667,725.791666666667,296.581513199375,40,20,60,"NoLoad","Accuracy_Mid",41,719.585365853659,311.182661439367,7,762.142857142857,204.096732434589
19167,"NoLoad_Neutral",780,50,0.889755902360944,665.696878751501,159.499220540018,20,20,60,"NoLoad","Neutral",89,658.011235955056,161.720964401231,11,722.909090909091,150.166210943377
19167,"NoLoad_Speed_Max",750,54,0.759259259259259,573.074074074074,147.09640682243,5,20,60,"NoLoad","Speed_Max",41,586.878048780488,139.417573340299,13,529.538461538462,167.540351052423
19167,"NoLoad_Speed_Mid",890,52,0.903846153846154,612.173076923077,128.157795070787,10,20,60,"NoLoad","Speed_Mid",47,604.574468085106,120.887613038408,5,683.6,185.19395238506
19168,"Load_Accuracy_Max",640,37,0.972972972972973,1039.24324324324,463.092827591798,80,20,60,"Load","Accuracy_Max",36,1051.55555555556,463.479291844041,1,596,NA
19168,"Load_Accuracy_Mid",600,33,0.96969696969697,1245.24242424242,691.261438888312,40,20,60,"Load","Accuracy_Mid",32,1259.6875,697.243671827307,1,783,NA
19168,"Load_Neutral",690,41.5,0.916083916083916,888.156468531469,342.078676660614,20,20,60,"Load","Neutral",76,876.513157894737,327.33263381138,7,951.714285714286,579.388100868987
19168,"Load_Speed_Max",650,45,0.777777777777778,773.422222222222,349.647321589841,5,20,60,"Load","Speed_Max",35,853.514285714286,354.557999190423,10,493.1,102.542619865541
19168,"Load_Speed_Mid",660,42,0.857142857142857,857.642857142857,459.450457608343,10,20,60,"Load","Speed_Mid",36,810.805555555556,298.586462179425,6,1138.66666666667,998.166051650058
19168,"NoLoad_Accuracy_Max",360,43,0.883720930232558,867.348837209302,419.748841214597,80,20,60,"NoLoad","Accuracy_Max",38,886.28947368421,430.365583616857,5,723.4,327.782397330912
19168,"NoLoad_Accuracy_Mid",660,45,0.911111111111111,793.066666666667,294.631156162783,40,20,60,"NoLoad","Accuracy_Mid",41,788.536585365854,248.184819999227,4,839.5,669.884815969631
19168,"NoLoad_Neutral",750,47.5,0.894281914893617,721.956781914894,227.969963427607,20,20,60,"NoLoad","Neutral",85,725.270588235294,223.985511236101,10,692.6,272.289551764294
19168,"NoLoad_Speed_Max",840,52,0.846153846153846,628.653846153846,276.184570611286,5,20,60,"NoLoad","Speed_Max",44,609.909090909091,189.5855722827,8,731.75,566.208883716955
19168,"NoLoad_Speed_Mid",840,48,0.916666666666667,710.5625,322.510161888392,10,20,60,"NoLoad","Speed_Mid",44,707.204545454545,331.555851659349,4,747.5,227.807667415593
19169,"Load_Accuracy_Max",800,45,0.977777777777778,765.577777777778,225.380132310734,80,20,60,"Load","Accuracy_Max",44,767,227.781412966518,1,703,NA
19169,"Load_Accuracy_Mid",940,47,1,727.765957446809,156.872312069951,40,20,60,"Load","Accuracy_Mid",47,727.765957446809,156.872312069951,0,NA,NA
19169,"Load_Neutral",770,45.5,0.922946859903382,752.147826086956,285.956305401896,20,20,60,"Load","Neutral",84,725.22619047619,234.101787726275,7,1073,583.187505581753
19169,"Load_Speed_Max",930,49,0.959183673469388,677.428571428571,181.946306182163,5,20,60,"Load","Speed_Max",47,683.212765957447,183.577010989727,2,541.5,16.2634559672906
19169,"Load_Speed_Mid",820,41,1,896.439024390244,421.195207046595,10,20,60,"Load","Speed_Mid",41,896.439024390244,421.195207046595,0,NA,NA
19169,"NoLoad_Accuracy_Max",880,49,0.979591836734694,682.938775510204,188.037053990615,80,20,60,"NoLoad","Accuracy_Max",48,687.395833333333,187.39294698044,1,469,NA
19169,"NoLoad_Accuracy_Mid",820,47,0.957446808510638,740.744680851064,273.648574070206,40,20,60,"NoLoad","Accuracy_Mid",45,726.266666666667,270.58290613213,2,1066.5,38.8908729652601
19169,"NoLoad_Neutral",910,48.5,0.968723404255319,699.365531914894,209.643396342413,20,20,60,"NoLoad","Neutral",94,686.212765957447,184.17475760987,3,1072,609.91884706082
19169,"NoLoad_Speed_Max",990,52,0.961538461538462,626.865384615385,132.872344582126,5,20,60,"NoLoad","Speed_Max",50,629.34,134.392451500849,2,565,86.2670273047588
19169,"NoLoad_Speed_Mid",880,50,0.92,674.42,203.50019706153,10,20,60,"NoLoad","Speed_Mid",46,684.086956521739,207.054778161288,4,563.25,124.156822876017
19170,"Load_Accuracy_Max",560,38,0.947368421052632,1029.68421052632,552.979355719599,80,20,60,"Load","Accuracy_Max",36,1065.30555555556,545.952107760611,2,388.5,118.086832458153
19170,"Load_Accuracy_Mid",480,42,0.857142857142857,882.166666666667,440.779902858816,40,20,60,"Load","Accuracy_Mid",36,897.083333333333,461.892342125614,6,792.666666666667,297.534311746841
19170,"Load_Neutral",530,39.5,0.832798459563543,940.787869062901,393.69760527206,20,20,60,"Load","Neutral",66,982.5,387.328413623375,13,714,401.125915393159
19170,"Load_Speed_Max",620,41,0.804878048780488,896.317073170732,405.888065790582,5,20,60,"Load","Speed_Max",33,860.969696969697,295.978829991319,8,1042.125,714.661046031114
19170,"Load_Speed_Mid",810,45,0.933333333333333,772.488888888889,477.735787677962,10,20,60,"Load","Speed_Mid",42,785.190476190476,492.202974099063,3,594.666666666667,62.1798466814878
19170,"NoLoad_Accuracy_Max",160,38,0.842105263157895,1049.65789473684,554.900588920788,80,20,60,"NoLoad","Accuracy_Max",32,1012.59375,539.306236505634,6,1247.33333333333,647.77177050769
19170,"NoLoad_Accuracy_Mid",520,44,0.863636363636364,823.454545454545,300.150617581694,40,20,60,"NoLoad","Accuracy_Mid",38,839.447368421053,291.109591824706,6,722.166666666667,365.254660020467
19170,"NoLoad_Neutral",730,47.5,0.884308510638298,734.629210992908,221.741444934925,20,20,60,"NoLoad","Neutral",84,740.833333333333,219.009645677076,11,685.727272727273,246.036213151272
19170,"NoLoad_Speed_Max",710,53,0.735849056603774,594.22641509434,293.884372965695,5,20,60,"NoLoad","Speed_Max",39,646.641025641026,314.727826206063,14,448.214285714286,157.255880932676
19170,"NoLoad_Speed_Mid",720,54,0.777777777777778,583.203703703704,290.183375961024,10,20,60,"NoLoad","Speed_Mid",42,634.166666666667,301.145448746636,12,404.833333333333,151.906570169318
19171,"Load_Accuracy_Max",400,35,0.914285714285714,1145.85714285714,782.182886048327,80,20,60,"Load","Accuracy_Max",32,1125.71875,803.964340180743,3,1360.66666666667,553.631947536749
19171,"Load_Accuracy_Mid",520,38,0.894736842105263,1024.21052631579,475.615286157565,40,20,60,"Load","Accuracy_Mid",34,1018.08823529412,486.984684448803,4,1076.25,420.941306280737
