Subject,WMC,gF,AC,SuS_AC
19314,-0.9398333910843744,-0.4790644572557307,-1.4014610103645893,-1.1222773567471687
19315,0.8634408419381021,0.5829652581616803,0.2858669674074768,-0.3102444000803209
19316,0.906421460955662,0.4333380511102842,-0.10188228742684251,0.11071237522997006
19317,0.6594401544775262,-0.4795916110962343,-0.26041391534713726,-0.18567619134144198
19318,-1.194378954391254,-1.0758782417738422,-0.5754715642946558,-0.14806755760705495
19321,0.4017530990637554,0.4386989633859899,-0.053969576447329214,-1.0363832546916731
19322,-0.9867335032786695,-1.0663243070694002,-0.8916505264755118,-0.38173074300315446
19323,0.9180875654771965,0.3412616166174646,-0.3006984218165577,0.7573237401976652
19324,0.5975039036344146,0.6089912930724882,0.29757910784001285,-0.06355261235271241
19325,0.21766839901463045,0.30398660331474153,-1.2759419091353414,-1.0679188698795967
19326,0.37381577078277867,-0.05774793476790846,1.129968898328953,0.13554180668333093
19327,-0.9653148533196326,-0.6207191911241957,-0.48193394688166125,0.058817043533372214
19329,-0.6073550826996671,0.8506949346167039,1.1532051131132952,1.001796469912252
19331,0.4041699296929049,1.0178485495554732,-0.29979793949180994,-0.7268890465529737
19332,0.03235576594264642,-1.8669017755272455,0.12786765712671533,-1.9246788597258462
19333,1.2792350157083885,1.2078894846573214,1.1372286512218872,0.37091109196985944
19336,-0.16535478521638047,-1.274945957739629,-0.8532853729349642,-0.09370667386194516
19337,-0.024479246205206456,-1.62519813398303,-0.5314936473232298,-0.48221789179566144
19338,-0.24014603818731672,-0.28588480740615346,-1.2346467971676607,0.4395476470823976
19339,-0.9650863112992417,0.0936699089570396,0.01094882720325859,0.0942256078117623
19340,0.5171081404231023,0.0010663206237165879,0.32466620075276875,0.10378962809766128
19342,0.4486070237537149,0.5999645122085498,0.44970618654687794,0.6004436137324745
19343,0.9447969607353142,1.4352054330618929,0.7721178644425438,-0.03562631506234757
19345,-0.25764519496961824,-1.4559601119775387,-0.5037786785673918,-0.3254760490985001
19346,-1.4311506313911055,-1.0465757016540502,-1.0825972759042024,-0.10711411815483692
19347,-0.21079127027965874,-0.0037674378114857334,1.2695204663497792,0.5633696099987001
19348,0.7118985894078619,-0.0500692319781472,0.2744085651603523,0.7382763635568561
19349,-0.8179206359865187,-0.24272172798722083,0.00645317221129323,-0.9525767151225839
19350,0.1744202025601108,0.2368818960517228,1.0768794982270957,0.8401881336732498
19351,0.3692106515448706,-0.856534766552202,0.5779630192452007,0.8363803140127025
19352,0.08458565885259128,0.2746840631949496,1.2967505897128708,-1.05117985986635
19353,0.6919826019964109,0.4014239500832668,-0.8295153456509994,-0.3492903452195442
19354,0.002230149052911153,-0.40726378201876484,0.5333855873663759,-0.6593825807284209
19355,0.8294419193759673,-0.8192597532494789,0.6176500220001034,0.2670645182002086
19356,0.6186478240687249,1.5560572538340007,0.6516939331126593,-1.7697980893903573
19358,-0.8417099290703693,-0.9290003860909263,-0.4656751867714049,0.16474413445328134
19359,0.9037760883061217,-0.09637102614480869,1.201862563052084,-1.5275799757776383
19360,-0.5301469990995814,-1.1589278954027233,0.06268940184799655,-0.4484577513795324
19361,0.2999603035828803,-2.109132570911965,-0.575917529438125,-0.00868977314982522
19363,-1.5542984715995871,-1.6161713531190915,-0.9477274344522816,-0.07710942277813507
19366,0.027979188725129334,-1.2052296895693848,-1.0823356141596416,0.2249255869824401
19367,-0.9194212842155726,-0.9656104550918908,0.09168356217669678,-0.26157760980261424
19368,0.6256697739357823,1.1152858963239984,0.4953271312007841,0.014481885881256484
19369,-0.6015220304389,-0.7037688447530769,-0.357085988947858,-0.6697284873416153
19370,0.49842008603451027,-0.5515300767944552,0.1074142094418435,-0.48760303478116174
19371,0.6057537865243313,-0.8357318534558447,-0.11661445754730164,-0.3493208213005799
19372,-1.2048171258899292,0.5770771920454708,-1.1458928629230851,-0.3804053597810842
19373,-0.912627876368906,0.6979290128175787,0.15199164132066803,-0.26553025977547917
19374,1.314194293856423,1.4117909590583106,0.7738571187669326,0.2697373252403759
19376,-0.15878991939010478,0.0936699089570396,0.477975860905476,-1.018662838659855
19377,0.3109191643537677,0.7532575878481786,0.877302149281146,0.33911503271008026
19379,-0.38247805224174075,-0.08564920159339702,0.7273974021133841,0.5531945651526308
19381,0.36702236293611207,-0.9113361877422982,-0.6488136330855184,-0.3736393329857643
19382,0.734963221013971,-0.9923014343044576,0.7468396597384325,0.9183601027147511
19383,0.6302748931736903,-0.22624962778085486,-0.04517531000544914,0.6340713433746344
19384,0.5975039036344146,-0.4306782560223474,-0.2007562991072278,0.9854172685604201
19385,1.1138383700478556,0.3412616166174646,0.8160691886563192,-0.31595914655563684
19386,0.5965435480485152,0.865082627756348,0.6622724895093225,0.11092099539556004
19387,-0.025707179228065574,-0.1799478336141934,0.12933253679140538,0.6486795543106081
19389,-0.2831266572048767,0.2715453484472206,-0.42767844093092044,-0.19842446266873162
19390,-0.44997977790865984,0.5829652581616803,0.3782670390050244,0.9989200578763497
19391,0.7060655371470949,1.0844261029779882,0.11787413454428086,-0.0998702314224269
