Subject,SymSpan,OSpan,RotSpan,RAPM,NumberSeries,LetterSets,Antisaccade,VAorient,Squared_Stroop,Squared_Flanker,Squared_Simon,StroopDL,SART,SACT,PVT,GradCPT_rt_cv,GradCPT_dprime,Resamples
19094,13,23,12,12,10,16,0.6527777777777778,2.7,31,30,50,-670,3.2528022561291516,0.5238095238095238,-6.158954434231357,-0.250350709340353,3.11737205686109,0.05627705627705627
19095,9,39,12,11,13,NA,0.8611111111111112,2.2666666666666666,32,NA,68,-1735.5,3.168339199069679,0.8571428571428571,-5.986810878426635,-0.1315676649848,2.7049439661901298,0.04070660522273425
19096,16,28,6,8,11,20,0.7638888888888888,1.9666666666666668,41,33,59,-1457.5,1.8340002841695504,0.6904761904761905,-5.977534641574484,NA,NA,NA
19097,15,38,17,11,12,23,0.8333333333333333,1.8166666666666669,37,38,75,-874,2.235660738097376,0.7380952380952381,-6.151820424608906,-0.16483311939683,2.35801076192067,0.11224489795918367
19098,12,24,4,10,7,10,0.7083333333333333,0.7333333333333333,17,1,65,-1032.5,3.0468720817096147,NA,-5.991964422149633,-0.179127649069012,2.00825327934247,0.3904761904761906
19100,19,34,16,13,14,21,0.8611111111111112,3.1333333333333337,42,50,80,-734,1.0020734684976094,0.4761904761904761,-6.3133064712064675,-0.243343212884167,1.93181090547746,0.01298701298701298
19101,26,34,21,18,14,27,0.9722222222222222,3.166666666666667,53,81,68,-549.5,4.3986817014037065,0.9761904761904762,-6.131806031661053,-0.242778907280592,1.70987762327573,0
19102,20,31,19,15,8,18,0.7222222222222222,3.533333333333333,44,73,80,-1838.5,3.063106196445772,0.9285714285714286,-6.009468171547557,-0.180897285183291,2.83005919876682,0.02597402597402597
19103,22,31,19,14,10,13,1,2.6,49,45,85,-460,NA,1,-5.886104031450156,-0.303794239960257,2.4261910359654,0.10459183673469388
19106,22,41,20,15,8,10,0.6805555555555557,0.5166666666666666,36,42,63,-1021,2.270486167427694,0.5238095238095238,-6.384712471277554,-0.267834447407631,1.72537550623001,0.2240957966764418
19107,19,39,15,9,13,16,0.8194444444444444,NA,41,29,72,-1895.5,3.2528022561291516,0.5,-6.36153273315771,-0.183292578237221,1.57719733438668,NA
19108,21,30,17,12,14,16,0.9166666666666666,3.4333333333333336,27,58,73,-746,0.7708258464519707,0.8333333333333333,-6.005696129354706,-0.183754871649785,2.37824280452028,NA
