parameter,feature,pearson_r,spearman_rho,p_value,n,fdr_q,fdr_significant
a,occipital_aperiodic_offset,-0.03665839099867232,0.036826491495058844,0.6212807592513039,184,0.7571859253375266,False
a,occipital_sample_entropy,0.07626149050596669,0.0008437518059756121,0.30352162366680946,184,0.6476189535815841,False
a,occipital_perm_entropy,0.060089196074902325,0.026073471903835407,0.4177865442524737,184,0.6789031344102697,False
a,prefrontal_aperiodic_exponent,-0.05433884034418128,-0.06523087592225155,0.4637986036718813,184,0.6888637480168077,False
a,prefrontal_aperiodic_offset,0.07189700377025188,0.06704359384330874,0.3321122838879918,184,0.6476189535815841,False
a,prefrontal_sample_entropy,0.02926285299868507,-0.02914796478588353,0.6933447668432523,184,0.7953072325554953,False
a,prefrontal_perm_entropy,0.04843124901338179,0.004850609697366647,0.5138467492223758,184,0.6930693049893603,False
a,global_delta,0.12273096048554817,0.11785363410452505,0.09696695491041489,184,0.2909008647312447,False
a,global_theta,0.11181717367560357,0.11774383078730905,0.13074551283088387,184,0.36421964288603365,False
a,global_alpha,0.06655920200968034,0.08173219548843212,0.3693475746492262,184,0.6547525186963555,False
a,global_beta,0.2071595978284773,0.18842634509063586,0.00477886922277691,184,0.07048012077071972,False
a,IAF,0.05780721370420289,0.03197425149611592,0.4357184796342445,184,0.6797208282294214,False
a,frontal_theta_beta_ratio,-0.006484857864356,0.002413746604765849,0.930380319684708,184,0.9529262404818951,False
a,temporal_alpha_asymmetry,-0.00608671116829684,-0.020278938953208373,0.9346449110459425,184,0.9529262404818951,False
a,connectivity_delta,-0.04424794060716689,-0.04270963764905318,0.5509012424274402,184,0.6930693049893603,False
a,connectivity_theta,0.07210458373796524,0.03895706112384658,0.3307146008944911,184,0.6476189535815841,False
a,connectivity_alpha,-0.13150481960526325,-0.12732561499489511,0.07517462049188087,184,0.26652819992575943,False
a,connectivity_beta,0.08600734531532625,0.09396274392710602,0.24569792569767412,184,0.5636599471887818,False
v,frontal_aperiodic_exponent,0.03291132665018679,0.035661035233380205,0.6573977588711207,184,0.8012035186241784,False
v,frontal_aperiodic_offset,-0.0007932823259593335,-0.019340794821906728,0.9914729505872223,184,0.9914729505872223,False
v,frontal_sample_entropy,-0.12535891698000406,-0.10031592533374428,0.08996961224234622,184,0.4251538015315982,False
v,frontal_perm_entropy,-0.06670747305839378,-0.03601548804684941,0.36827973758252736,184,0.6244743376399376,False
v,posterior_aperiodic_exponent,0.1090821141614057,0.09508967270905973,0.14048693058241704,184,0.45658252439285535,False
v,posterior_aperiodic_offset,0.08125650307545895,0.07639228679855907,0.27285139723717267,184,0.5963209278462718,False
v,posterior_sample_entropy,-0.07811577120537361,-0.0957292288724933,0.29188094762631633,184,0.5963209278462718,False
v,posterior_perm_entropy,-0.05364743432587324,-0.02255013388299204,0.4695133625934658,184,0.6964182083118992,False
v,central_aperiodic_exponent,0.1447078728484835,0.1582805185798771,0.05001164645983116,184,0.3250757019889025,False
v,central_aperiodic_offset,0.03898422085444636,0.03065053649515517,0.5993025333378618,184,0.7539612516186003,False
v,central_sample_entropy,-0.1815563913342461,-0.20028125060199187,0.01364401594639025,184,0.1703279848167045,False
v,central_perm_entropy,-0.11425931336714078,-0.10576178459286084,0.12249418814243197,184,0.43429757614134973,False
v,left_temporal_aperiodic_exponent,0.16565871782059433,0.1255591300495078,0.0246182248356806,184,0.1920221537183087,False
v,left_temporal_aperiodic_offset,0.04803506839547336,-0.004752364624068116,0.5173000457809883,184,0.6964182083118992,False
v,left_temporal_sample_entropy,-0.189379451967407,-0.1326713028067269,0.010032602823965835,184,0.1703279848167045,False
v,left_temporal_perm_entropy,-0.1020082089840899,-0.06019533432220531,0.16824220510259152,184,0.5047266153077746,False
v,right_temporal_aperiodic_exponent,0.17504861160377042,0.1288012174683593,0.017469536904277383,184,0.1703279848167045,False
v,right_temporal_aperiodic_offset,0.0782958480798965,0.07234112230548438,0.2907665395909137,184,0.5963209278462718,False
