target,model,r2,spearman,pearson,mae,perm_p,n
Accuracy_Mid_a,Ridge,-0.09472200035444889,0.044299602497349676,-0.018080951033220004,0.3607750139734056,0.6831683168316832,188
Accuracy_Mid_a,Lasso,-0.12102636212245144,-0.00442627880112195,-0.0331814320576314,0.3608437370732759,,188
Accuracy_Mid_a,ElasticNet,-0.140075543138098,-0.0049857234520104,-0.04261230013361154,0.36719102981872936,,188
Accuracy_Mid_a,XGBoost,-0.2743696251829193,0.0083184789067142,-0.05398234627719574,0.39088867498576385,,188
Accuracy_Mid_a,PCA+Ridge,0.019775994358691817,0.12593483557188187,0.14350498545080664,0.3391482548932907,,188
Accuracy_Mid_a,PLS,-0.12304140543870457,0.10044843211301283,0.12244422206221335,0.3744879262227731,,188
Accuracy_Mid_a,SparsePCA+Ridge,0.024751055694210877,0.1511990998849572,0.15768980179351144,0.33974990930298093,,188
Accuracy_Mid_a,MLP,-1.1180679799185262,-0.013685938592071257,0.018922770673955373,0.5428711960293182,,188
Accuracy_Mid_v,Ridge,-0.11146520664409665,-0.05844607346484693,-0.024850534201953756,0.8570246957884768,1.0,188
Accuracy_Mid_v,Lasso,-0.15256843873848536,-0.09437449983768358,-0.07309327715216693,0.8718787893432867,,188
Accuracy_Mid_v,ElasticNet,-0.12670125518217068,-0.06387132544829667,-0.018487160417883116,0.8615428552424872,,188
Accuracy_Mid_v,XGBoost,-0.12502896068953806,0.014236880709427961,-0.0034431393614379373,0.8683443109732282,,188
Accuracy_Mid_v,PCA+Ridge,-0.04062355315115829,-0.09453555761440616,-0.124441451467734,0.825450386883887,,188
Accuracy_Mid_v,PLS,-0.2509970657663225,0.012544540704740953,0.0001840515917389246,0.8879507576620994,,188
Accuracy_Mid_v,SparsePCA+Ridge,-0.03978567280443235,-0.0416393507757713,-0.08409624130999552,0.8270057660090552,,188
Accuracy_Mid_v,MLP,-1.0368496005123613,-0.01065906697946748,-0.028005815035946454,1.1975794423441786,,188
Accuracy_Mid_t0,Ridge,-0.06300794651177921,0.06576221720151633,0.037905826748287685,0.06265142619216764,0.5643564356435643,188
Accuracy_Mid_t0,Lasso,-0.1295799359911829,0.04682503304209748,0.000618414441508089,0.06474799361233291,,188
Accuracy_Mid_t0,ElasticNet,-0.10408772219896045,0.07321019961820963,0.04938668297195944,0.06427767483008835,,188
Accuracy_Mid_t0,XGBoost,-0.17132520222240522,0.06748334407908875,0.03399574423344799,0.06537432389082806,,188
Accuracy_Mid_t0,PCA+Ridge,-0.004935298854620518,0.07580362899511835,0.05236546747286757,0.05964035008434964,,188
Accuracy_Mid_t0,PLS,-0.1637641697733654,0.07704616340411083,0.04859418274971861,0.06681615296930973,,188
Accuracy_Mid_t0,SparsePCA+Ridge,-0.018531335722405284,0.08171830950304039,-0.0005756555094524703,0.059696722314337376,,188
