Top_N,Scenario,Target,Model,N,R2_CV,MAE_CV,Perm_p,N_Features,Features_Used
8,PairedMean,Neutral_v,ElasticNet,184,-0.0182,0.6894,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Neutral_v,XGBoost,184,-0.1216,0.7377,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Neutral_v,SVR,184,0.0005,0.6881,0.0697,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Speed_Max_a,Ridge,184,0.0135,0.3416,0.0448,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Speed_Max_a,Lasso,184,-0.0072,0.344,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Speed_Max_a,ElasticNet,184,-0.0029,0.3428,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Speed_Max_a,XGBoost,184,-0.3083,0.3868,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Speed_Max_a,SVR,184,-0.027,0.3392,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Speed_Max_v,Ridge,184,-0.0037,0.8288,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Speed_Max_v,Lasso,184,-0.0116,0.8331,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
